LỊCH ĐĂNG BÀI GROUP MEMBERSHIP - BẾP YÊU THƯƠNG
Ngày,Tuần,STT bài/ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner
Ngày 1,Tuần 1,1.0,08:00,Menu thành viên,Menu/quyền lợi thẻ buổi sáng: sữa hạt Giọt Lành,Duy trì thói quen,MENU,"[MENU HÔM NAY] Menu/quyền lợi thẻ buổi sáng: sữa hạt Giọt Lành
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Menu/quyền lợi thẻ buổi sáng: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày/thẻ,,Chưa đăng
Ngày 1,Tuần 1,2.0,19:30,Feedback/upsell/thử thách,Feedback khách mua thẻ: sữa hạt Giọt Lành,Tăng mua lại/gia hạn,FEEDBACK,"[FEEDBACK THẬT] Feedback khách mua thẻ: sữa hạt Giọt Lành
Chia sẻ: [ảnh/tin nhắn khách/ảnh giao hàng]
Điểm khách thích: [ngon/tiện/giá tốt/giao nhanh]
Câu hỏi kéo tương tác: ""Anh/chị muốn thử vị nào ngày mai?"" ","Tạo poster Zalo 1:1 dạng collage feedback/vinh danh cho ""Feedback khách mua thẻ: sữa hạt Giọt Lành"", nền sáng, khung ảnh chụp thật, sticker nhỏ ""feedback thật"", text ít, cảm giác tin cậy, phù hợp nhóm Zalo cộng đồng BYT.",Feedback/thẻ/gói,Bài tối của membership là slot tùy chọn để giữ tần suất 1-2 bài/ngày.,Chưa đăng
Ngày 2,Tuần 1,1.0,08:00,Menu thành viên,Menu/quyền lợi thẻ buổi sáng: set Ban Mai ăn sáng,Duy trì thói quen,MENU,"[MENU HÔM NAY] Menu/quyền lợi thẻ buổi sáng: set Ban Mai ăn sáng
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Menu/quyền lợi thẻ buổi sáng: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày/thẻ,,Chưa đăng
Ngày 2,Tuần 1,2.0,19:30,Feedback/upsell/thử thách,Thử thách 7 ngày: set Ban Mai ăn sáng,Tăng mua lại/gia hạn,CAMPAIGN,"[CHIẾN DỊCH THÁNG] Thử thách 7 ngày: set Ban Mai ăn sáng
Mục tiêu: [mục tiêu cộng đồng]
Cách tham gia: [bước 1-2-3]
Quà/đóng góp: [quyền lợi/ý nghĩa]
CTA: comment ""THAM GIA"".","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Thử thách 7 ngày: set Ban Mai ăn sáng"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Feedback/thẻ/gói,Bài tối của membership là slot tùy chọn để giữ tần suất 1-2 bài/ngày.,Chưa đăng
Ngày 3,Tuần 1,1.0,08:00,Menu thành viên,Menu/quyền lợi thẻ buổi sáng: ginger shot buổi sáng,Duy trì thói quen,MENU,"[MENU HÔM NAY] Menu/quyền lợi thẻ buổi sáng: ginger shot buổi sáng
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Menu/quyền lợi thẻ buổi sáng: ginger shot buổi sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày/thẻ,,Chưa đăng
Ngày 3,Tuần 1,2.0,19:30,Feedback/upsell/thử thách,Upsell gói tuần/tháng: ginger shot buổi sáng,Tăng mua lại/gia hạn,MEMBER_DEAL,"[ƯU ĐÃI THÀNH VIÊN] Upsell gói tuần/tháng: ginger shot buổi sáng
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Upsell gói tuần/tháng: ginger shot buổi sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Feedback/thẻ/gói,Bài tối của membership là slot tùy chọn để giữ tần suất 1-2 bài/ngày.,Chưa đăng
Ngày 4,Tuần 1,1.0,08:00,Menu thành viên,Menu/quyền lợi thẻ buổi sáng: detox/Detox Extra,Duy trì thói quen,MENU,"[MENU HÔM NAY] Menu/quyền lợi thẻ buổi sáng: detox/Detox Extra
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Menu/quyền lợi thẻ buổi sáng: detox/Detox Extra"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày/thẻ,,Chưa đăng
Ngày 4,Tuần 1,2.0,19:30,Feedback/upsell/thử thách,Gia hạn/nâng hạng thẻ: detox/Detox Extra,Tăng mua lại/gia hạn,MEMBER_DEAL,"[ƯU ĐÃI THÀNH VIÊN] Gia hạn/nâng hạng thẻ: detox/Detox Extra
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Gia hạn/nâng hạng thẻ: detox/Detox Extra"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Feedback/thẻ/gói,Bài tối của membership là slot tùy chọn để giữ tần suất 1-2 bài/ngày.,Chưa đăng
Ngày 5,Tuần 1,1.0,08:00,Menu thành viên,Menu/quyền lợi thẻ buổi sáng: hũ mạch/yến mạch,Duy trì thói quen,MENU,"[MENU HÔM NAY] Menu/quyền lợi thẻ buổi sáng: hũ mạch/yến mạch
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Menu/quyền lợi thẻ buổi sáng: hũ mạch/yến mạch"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày/thẻ,,Chưa đăng
Ngày 5,Tuần 1,2.0,19:30,Feedback/upsell/thử thách,Deal dùng thử cho thành viên: hũ mạch/yến mạch,Tăng mua lại/gia hạn,MEMBER_DEAL,"[ƯU ĐÃI THÀNH VIÊN] Deal dùng thử cho thành viên: hũ mạch/yến mạch
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""BẾP YÊU THƯƠNG - Membership"", chủ đề ""Deal dùng thử cho thành viên: hũ mạch/yến mạch"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Feedback/thẻ/gói,Bài tối của membership là slot tùy chọn để giữ tần suất 1-2 bài/ngày.,Chưa đăng
