30-DAY MARKETING EXECUTION CANVAS
"Lịch triển khai nội dung, kênh, owner, trạng thái và KPI cho chiến dịch launch"

Ngày,Giai đoạn,Trụ cột,Nội dung triển khai,Kênh,Owner,Trạng thái,KPI đích,Kết quả,Ghi chú
1.0,Pre-launch,Teaser,"Nếu mỗi sáng có một chai sữa hạt lành chỉ 15K, bạn có muốn duy trì không?",Story/Reels/Leader,,Chưa bắt đầu
2.0,Pre-launch,Offer,Giới thiệu Thẻ Giọt Lành An Nhiên và quyền lợi hội viên.,Fanpage/Zalo/Leader,,Chưa bắt đầu
3.0,Pre-launch,Product,"Giới thiệu 3 vị signature: Mộc Mè, Lạc Hương, Mộc Đậu.",Reels/TikTok,,Chưa bắt đầu
4.0,Pre-launch,Tasting,Leader dùng thử và chia sẻ cảm nhận thật.,Leader story,,Chưa bắt đầu
5.0,Pre-launch,Founder,Mở danh sách Founding Members giới hạn.,Form/QR,,Chưa bắt đầu
6.0,Launch,Offer,Mở bán chính thức Thẻ Giọt Lành An Nhiên.,All channels,,Chưa bắt đầu
7.0,Launch,BTS,"Video chuẩn bị sữa, đóng chai, giao sáng.",Reels/TikTok,,Chưa bắt đầu
8.0,Launch,Feedback,Feedback khách/leader sau 1–2 ngày dùng sữa.,Story/Fanpage,,Chưa bắt đầu
9.0,Launch,Habit,Challenge 7 ngày Giọt Lành.,Zalo/Story,,Chưa bắt đầu
10.0,Launch,Menu,"Menu ngày: vị sữa, trà, topping.",Zalo/Story,,Chưa bắt đầu
11.0,Launch,Education,"15K là đặc quyền hội viên, không phải sale rẻ.",Post,,Chưa bắt đầu
12.0,Launch,Social Proof,Ảnh khách nhận sữa tại văn phòng/studio.,Story/Reels,,Chưa bắt đầu
13.0,Launch,Leader,Leader top doanh số chia sẻ cách bán.,Internal/Zalo,,Chưa bắt đầu
14.0,Launch,Offer,Nhắc hạn slot Founding Members.,Fanpage/Zalo,,Chưa bắt đầu
15.0,Habit,Menu,Menu tuần và gợi ý dùng đều mỗi sáng.,Zalo/Story,,Chưa bắt đầu
16.0,Habit,Feedback,Tổng hợp feedback tuần 1.,Fanpage,,Chưa bắt đầu
17.0,Habit,BTS,Một ngày vận hành 100 chai sữa.,Reels,,Chưa bắt đầu
18.0,Habit,Education,Sống lành không cần phức tạp: bắt đầu bằng buổi sáng.,Post,,Chưa bắt đầu
19.0,Upsell,Ban Mai,Teaser Thẻ Ban Mai cho khách đã dùng sữa 3–5 lần.,CRM/Zalo,,Chưa bắt đầu
20.0,Upsell,Ban Mai,Video 'Một set Ban Mai gồm gì?',Reels/TikTok,,Chưa bắt đầu
21.0,Upsell,Offer,Mở bán Thẻ Ban Mai 249K.,CRM/Leader,,Chưa bắt đầu
22.0,Upsell,Group Order,Kích hoạt điểm gom đơn văn phòng/studio.,Leader/HR,,Chưa bắt đầu
23.0,Upsell,Menu,Menu Ban Mai ngày mai.,Zalo/Story,,Chưa bắt đầu
24.0,Upsell,Feedback,Feedback bữa sáng Ban Mai đầu tiên.,Story/Fanpage,,Chưa bắt đầu
25.0,Retention,Combo tuần,Ra gói 5 ngày Ban Mai hoặc sữa hạt.,CRM/Zalo,,Chưa bắt đầu
26.0,Retention,Referral,Giới thiệu bạn mở thẻ nhận voucher/nâng cấp.,Zalo/Story,,Chưa bắt đầu
27.0,Retention,Leader,Công bố bảng leader/đối tác nổi bật.,Internal/Fanpage,,Chưa bắt đầu
28.0,Retention,Social Proof,Case văn phòng/studio dùng đều trong tuần.,Post/Reels,,Chưa bắt đầu
29.0,Retention,Survey,Khảo sát vị yêu thích và khung giờ nhận hàng.,Form/Zalo,,Chưa bắt đầu
30.0,Review,Tổng kết,"Tổng kết 30 ngày: số thẻ, số chai, feedback, next wave.",Fanpage/Internal,,Chưa bắt đầu
