TEMPLATE ĐĂNG BÀI TRONG CÁC GROUP ZALO - BẾP YÊU THƯƠNG
Template ID,Dùng cho,Khung tin nhắn copy nhanh,Prompt poster đi kèm
DEAL_LE,"Mua lẻ, Liên minh tiêu dùng thông minh, deal ngày","[DEAL HÔM NAY] [chủ đề/sản phẩm]
• Sản phẩm: [tên sản phẩm]
• Giá lẻ: [giá niêm yết] → Giá hôm nay: [giá deal]
• Số lượng còn: [SL]
• Chốt đơn trước: [giờ]
• Giao tại: [khu vực/khung giờ]
Đặt hàng: comment ""ĐẶT + SĐT + SỐ LƯỢNG"" hoặc inbox admin.","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
DEAL_GOM,"Mua gom, Mua lẻ, Liên minh tiêu dùng thông minh","[GOM NHÓM GIÁ TỐT] [chủ đề/sản phẩm]
• Gom nhóm: [3/5/10] người
• Giá lẻ: [giá lẻ] → đủ nhóm còn: [giá gom]/người
• Hiện có: [đã có]/[mục tiêu] người
• Chốt gom lúc: [giờ/ngày]
Comment ""GOM + số lượng + tòa/khu"" để giữ suất.","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
MENU,"Hôm nay Bếp có gì, Membership, Mua lẻ","[MENU HÔM NAY] [chủ đề/sản phẩm]
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
MEMBER_DEAL,"Membership, Hôm nay Bếp có gì, Mua lẻ","[ƯU ĐÃI THÀNH VIÊN] [chủ đề/sản phẩm]
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
PARTNER_DEAL,Liên minh tiêu dùng & điểm bán,"[PARTNER HÔM NAY] [chủ đề/sản phẩm]
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
AFF_DEAL,Group kiếm tiền/Affiliate,"[DEAL CÓ HOA HỒNG] [chủ đề/sản phẩm]
• Sản phẩm dễ bán: [tên sản phẩm]
• Giá bán: [giá]
• Hoa hồng dự kiến: [mức hoa hồng]
• Tệp khách phù hợp: [mẹ bỉm/dân VP/sinh viên/...]
• Tài liệu bán: [link/bài mẫu]
Muốn nhận deal nhắn ""AFF"".","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
FLASH_DEAL,"Mua lẻ, combo giờ vàng","[COMBO GIỜ VÀNG] [chủ đề/sản phẩm]
• Combo: [tên combo]
• Giá thường: [giá thường] → Giá giờ vàng: [giá deal]
• Khung giờ áp dụng: [giờ bắt đầu] - [giờ kết thúc]
• Số lượng: [SL]
• Giao tại: [khu vực/khung giờ]
Đặt nhanh: comment ""GIỜ VÀNG + SĐT + SỐ LƯỢNG"".","Tạo poster Zalo 1:1 cho nhóm ""Bếp Yêu Thương"", chủ đề ""[chủ đề/sản phẩm]"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster."
MINIGAME,Kéo tương tác mọi group,"[MINIGAME] [chủ đề/sản phẩm]
Luật chơi: [cách tham gia]
Quà/ưu đãi: [quà/voucher]
Thời hạn: [giờ/ngày]
CTA: comment [keyword] + tag/rủ [số người] để tham gia.","Tạo poster Zalo 1:1 cho ""[chủ đề/sản phẩm]"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại."
FEEDBACK,Feedback khách/điểm/giao hàng,"[FEEDBACK THẬT] [chủ đề/sản phẩm]
Chia sẻ: [ảnh/tin nhắn khách/ảnh giao hàng]
Điểm khách thích: [ngon/tiện/giá tốt/giao nhanh]
Câu hỏi kéo tương tác: ""Anh/chị muốn thử vị nào ngày mai?"" ","Tạo poster Zalo 1:1 dạng collage feedback/vinh danh cho ""[chủ đề/sản phẩm]"", nền sáng, khung ảnh chụp thật, sticker nhỏ ""feedback thật"", text ít, cảm giác tin cậy, phù hợp nhóm Zalo cộng đồng BYT."
KNOWLEDGE,"Official, membership, kiến thức sức khỏe","[GÓC ĂN LÀNH] [chủ đề/sản phẩm]
Nội dung chính: [1 mẹo dinh dưỡng/thói quen]
Ứng dụng hôm nay: [gợi ý sản phẩm/menu]
Lưu ý an toàn: sản phẩm hỗ trợ lối sống lành mạnh, không thay thế tư vấn y tế.","Tạo infographic Zalo 1:1 chủ đề ""[chủ đề/sản phẩm]"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại."
