LỊCH ĐĂNG BÀI GROUP ZALO: LIÊN MINH ĐIỂM BÁN - BẾP YÊU THƯƠNG
Ngày,Tuần,STT bài/ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner,Nội dung đăng bài,Biến cần điền trước đăng,CTA chính,Gợi ý ảnh/tư liệu
Ngày 1,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: sữa hạt Giọt Lành,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: sữa hạt Giọt Lành
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: sữa hạt Giọt Lành"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] sữa hạt Giọt Lành: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai sữa hạt Giọt Lành. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 1,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: sữa hạt Giọt Lành,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: sữa hạt Giọt Lành
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: sữa hạt Giọt Lành"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] sữa hạt Giọt Lành: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với sữa hạt Giọt Lành, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 1,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: sữa hạt Giọt Lành,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: sữa hạt Giọt Lành
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] sữa hạt Giọt Lành: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử sữa hạt Giọt Lành. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 2,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: set Ban Mai ăn sáng,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: set Ban Mai ăn sáng
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: set Ban Mai ăn sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] set Ban Mai ăn sáng: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai set Ban Mai ăn sáng. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 2,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: set Ban Mai ăn sáng,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: set Ban Mai ăn sáng
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: set Ban Mai ăn sáng"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] set Ban Mai ăn sáng: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với set Ban Mai ăn sáng, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 2,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: set Ban Mai ăn sáng,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: set Ban Mai ăn sáng
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] set Ban Mai ăn sáng: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử set Ban Mai ăn sáng. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 3,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: ginger shot buổi sáng,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: ginger shot buổi sáng
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: ginger shot buổi sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] ginger shot buổi sáng: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai ginger shot buổi sáng. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 3,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: ginger shot buổi sáng,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: ginger shot buổi sáng
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: ginger shot buổi sáng"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] ginger shot buổi sáng: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với ginger shot buổi sáng, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 3,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: ginger shot buổi sáng,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: ginger shot buổi sáng
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: ginger shot buổi sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] ginger shot buổi sáng: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử ginger shot buổi sáng. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 4,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: detox/Detox Extra,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: detox/Detox Extra
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: detox/Detox Extra"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] detox/Detox Extra: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai detox/Detox Extra. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
