LỊCH ĐĂNG BÀI GROUP BẾP YÊU THƯƠNG OFFICIAL
Ngày,Tuần,STT bài/ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner
Ngày 1,Tuần 1,1.0,20:00,Thương hiệu & câu chuyện,Câu chuyện thương hiệu: sữa hạt Giọt Lành,Xây niềm tin,STORY,"[CÂU CHUYỆN BYT] Câu chuyện thương hiệu: sữa hạt Giọt Lành
Mở bài: [1 câu chuyện thật]
Thông điệp: Ăn lành – Uống sạch – Sống yêu thương.
CTA: chia sẻ 1 thói quen healthy bạn muốn bắt đầu tuần này.","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Câu chuyện thương hiệu: sữa hạt Giọt Lành"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Tổng quan BYT,,Chưa đăng
Ngày 2,Tuần 1,1.0,20:00,Kiến thức sức khỏe,Góc sức khỏe an toàn: set Ban Mai ăn sáng,Giáo dục cộng đồng,KNOWLEDGE,"[GÓC ĂN LÀNH] Góc sức khỏe an toàn: set Ban Mai ăn sáng
Nội dung chính: [1 mẹo dinh dưỡng/thói quen]
Ứng dụng hôm nay: [gợi ý sản phẩm/menu]
Lưu ý an toàn: sản phẩm hỗ trợ lối sống lành mạnh, không thay thế tư vấn y tế.","Tạo infographic Zalo 1:1 chủ đề ""Góc sức khỏe an toàn: set Ban Mai ăn sáng"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Nội dung đã duyệt,,Chưa đăng
Ngày 3,Tuần 1,1.0,20:00,Chiến dịch tháng,Chiến dịch cộng đồng: ginger shot buổi sáng,Kích hoạt tham gia,CAMPAIGN,"[CHIẾN DỊCH THÁNG] Chiến dịch cộng đồng: ginger shot buổi sáng
Mục tiêu: [mục tiêu cộng đồng]
Cách tham gia: [bước 1-2-3]
Quà/đóng góp: [quyền lợi/ý nghĩa]
CTA: comment ""THAM GIA"".","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Chiến dịch cộng đồng: ginger shot buổi sáng"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Kế hoạch tháng,,Chưa đăng
Ngày 4,Tuần 1,1.0,20:00,Từ thiện/gây quỹ,Cập nhật hoạt động yêu thương: detox/Detox Extra,Lan tỏa cộng đồng,CHARITY,"[HOẠT ĐỘNG YÊU THƯƠNG] Cập nhật hoạt động yêu thương: detox/Detox Extra
Mục tiêu gây quỹ/từ thiện: [mục tiêu]
Cách đóng góp: [mua sản phẩm/chuyển khoản/quyên góp]
Cập nhật minh bạch: [mốc báo cáo]
CTA: cùng BYT lan tỏa yêu thương.","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Cập nhật hoạt động yêu thương: detox/Detox Extra"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Hoạt động BYT,,Chưa đăng
Ngày 5,Tuần 1,1.0,20:00,Hậu trường bếp,Behind-the-scenes của Bếp: hũ mạch/yến mạch,Tăng tính thật,STORY,"[CÂU CHUYỆN BYT] Behind-the-scenes của Bếp: hũ mạch/yến mạch
Mở bài: [1 câu chuyện thật]
Thông điệp: Ăn lành – Uống sạch – Sống yêu thương.
CTA: chia sẻ 1 thói quen healthy bạn muốn bắt đầu tuần này.","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Behind-the-scenes của Bếp: hũ mạch/yến mạch"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Ảnh/video bếp,,Chưa đăng
Ngày 6,Tuần 1,1.0,20:00,Vinh danh cộng đồng,Vinh danh đại sứ/điểm/khách: salad + cơm lứt,Tạo động lực,VINHDANH,"[VINH DANH] Vinh danh đại sứ/điểm/khách: salad + cơm lứt
Chúc mừng: [tên/cửa hàng/điểm/CTV]
Kết quả: [doanh thu/QR/đơn/thẻ]
Bài học rút ra: [1 insight]
CTA: ai muốn lên bảng tuần sau comment ""TÔI"".","Tạo poster Zalo 1:1 dạng collage feedback/vinh danh cho ""Vinh danh đại sứ/điểm/khách: salad + cơm lứt"", nền sáng, khung ảnh chụp thật, sticker nhỏ ""feedback thật"", text ít, cảm giác tin cậy, phù hợp nhóm Zalo cộng đồng BYT.",Báo cáo tuần,,Chưa đăng
Ngày 7,Tuần 1,1.0,20:00,Thương hiệu & câu chuyện,Câu chuyện thương hiệu: set Mặt Trời Bé Con,Xây niềm tin,STORY,"[CÂU CHUYỆN BYT] Câu chuyện thương hiệu: set Mặt Trời Bé Con
Mở bài: [1 câu chuyện thật]
Thông điệp: Ăn lành – Uống sạch – Sống yêu thương.
CTA: chia sẻ 1 thói quen healthy bạn muốn bắt đầu tuần này.","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Câu chuyện thương hiệu: set Mặt Trời Bé Con"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Tổng quan BYT,,Chưa đăng
Ngày 8,Tuần 2,1.0,20:00,Kiến thức sức khỏe,Góc sức khỏe an toàn: nước ép/smoothie,Giáo dục cộng đồng,KNOWLEDGE,"[GÓC ĂN LÀNH] Góc sức khỏe an toàn: nước ép/smoothie
Nội dung chính: [1 mẹo dinh dưỡng/thói quen]
Ứng dụng hôm nay: [gợi ý sản phẩm/menu]
Lưu ý an toàn: sản phẩm hỗ trợ lối sống lành mạnh, không thay thế tư vấn y tế.","Tạo infographic Zalo 1:1 chủ đề ""Góc sức khỏe an toàn: nước ép/smoothie"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Nội dung đã duyệt,,Chưa đăng
Ngày 9,Tuần 2,1.0,20:00,Chiến dịch tháng,Chiến dịch cộng đồng: trứng nướng thảo mộc,Kích hoạt tham gia,CAMPAIGN,"[CHIẾN DỊCH THÁNG] Chiến dịch cộng đồng: trứng nướng thảo mộc
Mục tiêu: [mục tiêu cộng đồng]
Cách tham gia: [bước 1-2-3]
Quà/đóng góp: [quyền lợi/ý nghĩa]
CTA: comment ""THAM GIA"".","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Chiến dịch cộng đồng: trứng nướng thảo mộc"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Kế hoạch tháng,,Chưa đăng
Ngày 10,Tuần 2,1.0,20:00,Từ thiện/gây quỹ,Cập nhật hoạt động yêu thương: hạt mix/bột hạt,Lan tỏa cộng đồng,CHARITY,"[HOẠT ĐỘNG YÊU THƯƠNG] Cập nhật hoạt động yêu thương: hạt mix/bột hạt
Mục tiêu gây quỹ/từ thiện: [mục tiêu]
Cách đóng góp: [mua sản phẩm/chuyển khoản/quyên góp]
Cập nhật minh bạch: [mốc báo cáo]
CTA: cùng BYT lan tỏa yêu thương.","Tạo poster kể chuyện thương hiệu BYT 1:1 chủ đề ""Cập nhật hoạt động yêu thương: hạt mix/bột hạt"", ảnh bếp/cộng đồng ấm áp, màu xanh lá/be/nâu nhạt, text ngắn cảm xúc, có slogan ""Ăn lành – Uống sạch – Sống yêu thương"".",Hoạt động BYT,,Chưa đăng
