KPI DASHBOARD – MEMBERSHIP PILOT 30 NGÀY
Dashboard tự tính từ Ops Tracker và Offer Pricing để team theo dõi mỗi ngày

Tổng DT,LN gộp ước tính,Thẻ Giọt Lành,Thẻ Ban Mai,Tổng chai sữa,Set Ban Mai,Đúng giờ TB,Khiếu nại
0,0,0,0,0,0,0.9,0



KPI,Target,Actual,% đạt,Trạng thái,Ghi chú
Thẻ Giọt Lành An Nhiên,300,0,0,Cần đẩy,Mục tiêu pilot
Thẻ Ban Mai,50,0,0,Cần đẩy,Mục tiêu pilot
Tổng doanh thu pilot,175650000,0,0,Cần đẩy,Tính cả thẻ + sữa + Ban Mai
Tổng chai sữa,4500,0,0,Cần đẩy,Đo adoption và thói quen
Set Ban Mai,600,0,0,Cần đẩy,Đo upsell/AOV
Giao đúng giờ TB,0.9,0.9,1,Đạt,Vận hành sáng
Hàng dư/hủy,357,0,1,Ổn,Ngưỡng gợi ý: <7% tổng sản lượng; chỉnh theo thực tế
Khiếu nại,153,0,1,Ổn,Ngưỡng gợi ý: <3% tổng sản lượng; chỉnh theo thực tế



Ngày,Tổng DT,LN gộp ước tính
D01,0,0
D02,0,0
D03,0,0
D04,0,0
D05,0,0
D06,0,0
D07,0,0
D08,0,0
D09,0,0
D10,0,0
D11,0,0
D12,0,0
D13,0,0
D14,0,0
D15,0,0
D16,0,0
D17,0,0
D18,0,0
D19,0,0
D20,0,0
D21,0,0
D22,0,0
D23,0,0
D24,0,0
D25,0,0
D26,0,0
D27,0,0
D28,0,0
D29,0,0
D30,0,0
