LỊCH ĐĂNG BÀI GROUP ZALO: HÔM NAY BẾP CÓ GÌ?
Ngày,Tuần,STT bài/ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner
Ngày 1,Tuần 1,1.0,08:00,Menu sáng,Menu sáng + đặt trước: sữa hạt Giọt Lành,Chốt bữa sáng,MENU,"[MENU HÔM NAY] Menu sáng + đặt trước: sữa hạt Giọt Lành
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Menu sáng + đặt trước: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày,,Chưa đăng
Ngày 1,Tuần 1,2.0,11:00,Menu đồ uống,Đồ uống hôm nay: sữa hạt Giọt Lành,Chốt đơn trưa,MENU,"[MENU HÔM NAY] Đồ uống hôm nay: sữa hạt Giọt Lành
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Đồ uống hôm nay: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày,,Chưa đăng
Ngày 1,Tuần 1,3.0,13:00,Quà/vote/menu,Vote vị/menu yêu thích: sữa hạt Giọt Lành,Lấy nhu cầu,MINIGAME,"[MINIGAME] Vote vị/menu yêu thích: sữa hạt Giọt Lành
Luật chơi: [cách tham gia]
Quà/ưu đãi: [quà/voucher]
Thời hạn: [giờ/ngày]
CTA: comment [keyword] + tag/rủ [số người] để tham gia.","Tạo poster Zalo 1:1 cho ""Vote vị/menu yêu thích: sữa hạt Giọt Lành"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Menu/voucher,,Chưa đăng
Ngày 1,Tuần 1,4.0,15:00,Gói tuần/tháng,Gói tuần/tháng: sữa hạt Giọt Lành,Upsell dài ngày,MEMBER_DEAL,"[ƯU ĐÃI THÀNH VIÊN] Gói tuần/tháng: sữa hạt Giọt Lành
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Gói tuần/tháng: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng gói,,Chưa đăng
Ngày 1,Tuần 1,5.0,19:30,Chốt ngày mai,Chốt menu ngày mai: sữa hạt Giọt Lành,Tăng đặt trước,REMINDER,"[NHẮC CHỐT] Chốt menu ngày mai: sữa hạt Giọt Lành
Còn [số lượng/suất] trước giờ chốt [giờ].
Ai đã đặt kiểm tra lại: [tên/số lượng/khu].
Ai muốn thêm comment ""THÊM + số lượng"" trước [giờ].","Tạo poster Zalo 1:1 cho ""Chốt menu ngày mai: sữa hạt Giọt Lành"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách đặt,,Chưa đăng
Ngày 2,Tuần 1,1.0,08:00,Menu sáng,Menu sáng + đặt trước: set Ban Mai ăn sáng,Chốt bữa sáng,MENU,"[MENU HÔM NAY] Menu sáng + đặt trước: set Ban Mai ăn sáng
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Menu sáng + đặt trước: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày,,Chưa đăng
Ngày 2,Tuần 1,2.0,11:00,Menu đồ uống,Đồ uống hôm nay: set Ban Mai ăn sáng,Chốt đơn trưa,MENU,"[MENU HÔM NAY] Đồ uống hôm nay: set Ban Mai ăn sáng
• Đồ uống: [list đồ uống + giá]
• Đồ ăn: [list đồ ăn + giá]
• Set gợi ý: [combo]
• Nhận đặt trước đến: [giờ]
• Giao: [khung giờ/khu vực]
Đặt: nhắn ""MENU + tên món + số lượng"".","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Đồ uống hôm nay: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Menu ngày,,Chưa đăng
Ngày 2,Tuần 1,3.0,13:00,Quà/vote/menu,Vote vị/menu yêu thích: set Ban Mai ăn sáng,Lấy nhu cầu,MINIGAME,"[MINIGAME] Vote vị/menu yêu thích: set Ban Mai ăn sáng
Luật chơi: [cách tham gia]
Quà/ưu đãi: [quà/voucher]
Thời hạn: [giờ/ngày]
CTA: comment [keyword] + tag/rủ [số người] để tham gia.","Tạo poster Zalo 1:1 cho ""Vote vị/menu yêu thích: set Ban Mai ăn sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Menu/voucher,,Chưa đăng
Ngày 2,Tuần 1,4.0,15:00,Gói tuần/tháng,Gói tuần/tháng: set Ban Mai ăn sáng,Upsell dài ngày,MEMBER_DEAL,"[ƯU ĐÃI THÀNH VIÊN] Gói tuần/tháng: set Ban Mai ăn sáng
• Thẻ áp dụng: [Giọt Lành/Ban Mai/Bình Minh/Mặt Trời]
• Giá thường: [giá] → Giá thành viên: [giá]
• Quyền lợi thêm: [quà/voucher/cashback]
• Áp dụng đến: [ngày/giờ]
Chưa có thẻ nhắn ""MỞ THẺ"" để được hướng dẫn.","Tạo poster Zalo 1:1 cho nhóm ""Hôm nay Bếp có gì?"", chủ đề ""Gói tuần/tháng: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng gói,,Chưa đăng
Ngày 2,Tuần 1,5.0,19:30,Chốt ngày mai,Chốt menu ngày mai: set Ban Mai ăn sáng,Tăng đặt trước,REMINDER,"[NHẮC CHỐT] Chốt menu ngày mai: set Ban Mai ăn sáng
Còn [số lượng/suất] trước giờ chốt [giờ].
Ai đã đặt kiểm tra lại: [tên/số lượng/khu].
Ai muốn thêm comment ""THÊM + số lượng"" trước [giờ].","Tạo poster Zalo 1:1 cho ""Chốt menu ngày mai: set Ban Mai ăn sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách đặt,,Chưa đăng
