CORE STRATEGY CANVAS – GIỌT LÀNH MỖI SÁNG
Bản core để toàn brand theo dõi chiến lược Membership F&B: Thẻ Giọt Lành An Nhiên + Thẻ Ban Mai

1. Định vị,,,,2. Big Idea,,,,3. Mô hình
"Healthy lifestyle tiện lợi, an lành và có gu cho người bận rộn. Không bán rẻ; bán đặc quyền và thói quen ban mai.",,,,"Giọt Lành Mỗi Sáng – một giọt lành nhỏ cho ngày mới an nhiên, dễ duy trì và không cần phức tạp.",,,,"B2B2C qua Leader/KOC, văn phòng, studio yoga/pilates, spa/salon và các điểm gom đơn buổi sáng."



4. Sản phẩm mồi,,,,5. Sản phẩm upsell,,,,6. 3 vị sữa hạt
"Thẻ Giọt Lành An Nhiên: 199K mở thẻ, sữa hạt signature 15K/chai, tối đa 3 chai/ngày.",,,,"Thẻ Ban Mai: 249K mở thẻ, set bữa sáng Ban Mai 60K gồm trà, sữa hạt, ginger shot, gạo lứt, topping và trứng.",,,,"Mộc Mè – Lạc Hương – Mộc Đậu. Menu dùng tên thương hiệu; tem/FAQ vẫn minh bạch thành phần mè, lạc, đậu nành."



7. Khách hàng lõi,,,,8. Chiến lược phễu,,,,9. Kênh chính
"Nữ văn phòng 22–40, người bận rộn, khách wellness, nhóm văn phòng đặt sáng, người mới bắt đầu healthy.",,,,Awareness → Trial → Membership → Habit → Upsell Ban Mai → Retention → Referral/Advocacy.,,,,Leader/KOC + group order văn phòng/studio/spa là kênh chính. Ads chỉ chạy sau khi có feedback và nội dung thật.



10. KPI pilot 30 ngày,,,,11. Nguyên tắc vận hành,,,,12. Rủi ro cần khóa
300–500 thẻ Giọt Lành; 100–150 thẻ Ban Mai; 20–30 Leader; ≥60% hội viên dùng thẻ trong 7 ngày đầu.,,,,Ban Mai cần pre-order trước 21h; sữa tracking theo SĐT/QR; forecast theo active rate; kiểm soát cost/chai ≤9–10K.,,,,Không dùng claim chữa bệnh/giảm cân thần kỳ; không gọi 'rẻ nhất'; không giấu dị ứng; không để 1–3 trà trong set chính.



"NORTH STAR: Không bán một món uống. Bán một thói quen ban mai an lành, tiện và có gu."
