LỊCH ĐĂNG BÀI GROUP ZALO: LIÊN MINH TIÊU DÙNG THÔNG MINH - BẾP YÊU THƯƠNG
Ngày,Tuần,STT bài / ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner
Ngày 1,Tuần 1,1.0,08:00,Deal thông minh,Deal tiêu dùng thông minh: sữa hạt Giọt Lành,Tạo giá trị tức thì,DEAL_LE,"[DEAL HÔM NAY] Deal tiêu dùng thông minh: sữa hạt Giọt Lành
• Sản phẩm: [tên sản phẩm]
• Giá lẻ: [giá niêm yết] → Giá hôm nay: [giá deal]
• Số lượng còn: [SL]
• Chốt đơn trước: [giờ]
• Giao tại: [khu vực/khung giờ]
Đặt hàng: comment ""ĐẶT + SĐT + SỐ LƯỢNG"" hoặc inbox admin.","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng thông minh"", chủ đề ""Deal tiêu dùng thông minh: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng deal,,Chưa đăng
Ngày 1,Tuần 1,2.0,11:00,Mua gom theo khu,Gom đơn trong khu theo tòa/khu: sữa hạt Giọt Lành,Tăng mua chung,DEAL_GOM,"[GOM NHÓM GIÁ TỐT] Gom đơn trong khu theo tòa/khu: sữa hạt Giọt Lành
• Gom nhóm: [3/5/10] người
• Giá lẻ: [giá lẻ] → đủ nhóm còn: [giá gom]/người
• Hiện có: [đã có]/[mục tiêu] người
• Chốt gom lúc: [giờ/ngày]
Comment ""GOM + số lượng + tòa/khu"" để giữ suất.","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng thông minh"", chủ đề ""Gom đơn trong khu theo tòa/khu: sữa hạt Giọt Lành"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng gom/khu,,Chưa đăng
Ngày 1,Tuần 1,3.0,13:00,So sánh tiết kiệm,Tiết kiệm khi mua chung: sữa hạt Giọt Lành,Giáo dục lợi ích,COMPARISON,"[SO SÁNH TIẾT KIỆM] Tiết kiệm khi mua chung: sữa hạt Giọt Lành
• Mua lẻ: [giá]
• Mua theo gói/gom/thẻ: [giá]
• Tiết kiệm dự kiến: [số tiền/%]
Kết luận: phù hợp với [tệp khách]. Comment ""TÍNH"" để admin tính giúp.","Tạo poster Zalo 1:1 cho ""Tiết kiệm khi mua chung: sữa hạt Giọt Lành"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Bảng giá,,Chưa đăng
Ngày 1,Tuần 1,4.0,15:00,Vote nhu cầu,Vote sản phẩm cần deal: sữa hạt Giọt Lành,Lấy nhu cầu,MINIGAME,"[MINIGAME] Vote sản phẩm cần deal: sữa hạt Giọt Lành
Luật chơi: [cách tham gia]
Quà/ưu đãi: [quà/voucher]
Thời hạn: [giờ/ngày]
CTA: comment [keyword] + tag/rủ [số người] để tham gia.","Tạo poster Zalo 1:1 cho ""Vote sản phẩm cần deal: sữa hạt Giọt Lành"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Poll/nhu cầu,,Chưa đăng
Ngày 1,Tuần 1,5.0,19:30,Feedback + upsell,Feedback cư dân/đồng nghiệp: sữa hạt Giọt Lành,Tăng niềm tin,FEEDBACK,"[FEEDBACK THẬT] Feedback cư dân/đồng nghiệp: sữa hạt Giọt Lành
Chia sẻ: [ảnh/tin nhắn khách/ảnh giao hàng]
Điểm khách thích: [ngon/tiện/giá tốt/giao nhanh]
Câu hỏi kéo tương tác: ""Anh/chị muốn thử vị nào ngày mai?"" ","Tạo poster Zalo 1:1 dạng collage feedback/vinh danh cho ""Feedback cư dân/đồng nghiệp: sữa hạt Giọt Lành"", nền sáng, khung ảnh chụp thật, sticker nhỏ ""feedback thật"", text ít, cảm giác tin cậy, phù hợp nhóm Zalo cộng đồng BYT.",Kho feedback,,Chưa đăng
Ngày 2,Tuần 1,1.0,08:00,Deal thông minh,Deal tiêu dùng thông minh: set Ban Mai ăn sáng,Tạo giá trị tức thì,DEAL_LE,"[DEAL HÔM NAY] Deal tiêu dùng thông minh: set Ban Mai ăn sáng
• Sản phẩm: [tên sản phẩm]
• Giá lẻ: [giá niêm yết] → Giá hôm nay: [giá deal]
• Số lượng còn: [SL]
• Chốt đơn trước: [giờ]
• Giao tại: [khu vực/khung giờ]
Đặt hàng: comment ""ĐẶT + SĐT + SỐ LƯỢNG"" hoặc inbox admin.","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng thông minh"", chủ đề ""Deal tiêu dùng thông minh: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng deal,,Chưa đăng
Ngày 2,Tuần 1,2.0,11:00,Mua gom theo khu,Gom đơn trong khu theo tòa/khu: set Ban Mai ăn sáng,Tăng mua chung,DEAL_GOM,"[GOM NHÓM GIÁ TỐT] Gom đơn trong khu theo tòa/khu: set Ban Mai ăn sáng
• Gom nhóm: [3/5/10] người
• Giá lẻ: [giá lẻ] → đủ nhóm còn: [giá gom]/người
• Hiện có: [đã có]/[mục tiêu] người
• Chốt gom lúc: [giờ/ngày]
Comment ""GOM + số lượng + tòa/khu"" để giữ suất.","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng thông minh"", chủ đề ""Gom đơn trong khu theo tòa/khu: set Ban Mai ăn sáng"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Bảng gom/khu,,Chưa đăng
Ngày 2,Tuần 1,3.0,13:00,So sánh tiết kiệm,Tiết kiệm khi mua chung: set Ban Mai ăn sáng,Giáo dục lợi ích,COMPARISON,"[SO SÁNH TIẾT KIỆM] Tiết kiệm khi mua chung: set Ban Mai ăn sáng
• Mua lẻ: [giá]
• Mua theo gói/gom/thẻ: [giá]
• Tiết kiệm dự kiến: [số tiền/%]
Kết luận: phù hợp với [tệp khách]. Comment ""TÍNH"" để admin tính giúp.","Tạo poster Zalo 1:1 cho ""Tiết kiệm khi mua chung: set Ban Mai ăn sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Bảng giá,,Chưa đăng
Ngày 2,Tuần 1,4.0,15:00,Vote nhu cầu,Vote sản phẩm cần deal: set Ban Mai ăn sáng,Lấy nhu cầu,MINIGAME,"[MINIGAME] Vote sản phẩm cần deal: set Ban Mai ăn sáng
Luật chơi: [cách tham gia]
Quà/ưu đãi: [quà/voucher]
Thời hạn: [giờ/ngày]
CTA: comment [keyword] + tag/rủ [số người] để tham gia.","Tạo poster Zalo 1:1 cho ""Vote sản phẩm cần deal: set Ban Mai ăn sáng"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Poll/nhu cầu,,Chưa đăng
Ngày 2,Tuần 1,5.0,19:30,Feedback + upsell,Feedback cư dân/đồng nghiệp: set Ban Mai ăn sáng,Tăng niềm tin,FEEDBACK,"[FEEDBACK THẬT] Feedback cư dân/đồng nghiệp: set Ban Mai ăn sáng
Chia sẻ: [ảnh/tin nhắn khách/ảnh giao hàng]
Điểm khách thích: [ngon/tiện/giá tốt/giao nhanh]
Câu hỏi kéo tương tác: ""Anh/chị muốn thử vị nào ngày mai?"" ","Tạo poster Zalo 1:1 dạng collage feedback/vinh danh cho ""Feedback cư dân/đồng nghiệp: set Ban Mai ăn sáng"", nền sáng, khung ảnh chụp thật, sticker nhỏ ""feedback thật"", text ít, cảm giác tin cậy, phù hợp nhóm Zalo cộng đồng BYT.",Kho feedback,,Chưa đăng
